  ZR    Vel     logg logTeff  y1(CHEOPS)    
  ZR    Vel     logg logTeff  y2(CHEOPS)  
  0.00  0.000   0.00  3.544    2.6413
  0.00  0.000   0.00  3.544   -0.0232
  0.00  0.000   0.00  3.574    2.0738
  0.00  0.000   0.00  3.574   -0.0002
  0.00  0.000   0.00  3.602    1.6814
  0.00  0.000   0.00  3.602    0.0052
  0.00  0.000   0.00  3.628    1.5190
  0.00  0.000   0.00  3.628    0.0040
  0.00  0.000   0.00  3.653    1.4137
  0.00  0.000   0.00  3.653    0.0028
  0.00  0.000   0.00  3.677    1.3250
  0.00  0.000   0.00  3.677    0.0008
  0.00  0.000   0.00  3.699    1.2417
  0.00  0.000   0.00  3.699   -0.0021
  0.00  0.000   0.00  3.720    1.1882
  0.00  0.000   0.00  3.720   -0.0049
  0.00  0.000   0.00  3.740    1.2212
  0.00  0.000   0.00  3.740   -0.0117
  0.00  0.000   0.00  3.760    1.2061
  0.00  0.000   0.00  3.760   -0.0231
  0.00  0.000   0.00  3.778    1.0797
  0.00  0.000   0.00  3.778   -0.0119
  0.00  0.000   0.50  3.544    2.7661
  0.00  0.000   0.50  3.544   -0.0266
  0.00  0.000   0.50  3.574    2.1362
  0.00  0.000   0.50  3.574   -0.0053
  0.00  0.000   0.50  3.602    1.6953
  0.00  0.000   0.50  3.602    0.0028
  0.00  0.000   0.50  3.628    1.5136
  0.00  0.000   0.50  3.628    0.0027
  0.00  0.000   0.50  3.653    1.4047
  0.00  0.000   0.50  3.653    0.0008
  0.00  0.000   0.50  3.677    1.3132
  0.00  0.000   0.50  3.677   -0.0010
  0.00  0.000   0.50  3.699    1.2284
  0.00  0.000   0.50  3.699   -0.0029
  0.00  0.000   0.50  3.720    1.1662
  0.00  0.000   0.50  3.720   -0.0046
  0.00  0.000   0.50  3.740    1.1665
  0.00  0.000   0.50  3.740   -0.0079
  0.00  0.000   0.50  3.760    1.1896
  0.00  0.000   0.50  3.760   -0.0209
  0.00  0.000   0.50  3.778    1.1562
  0.00  0.000   0.50  3.778   -0.0176
  0.00  0.000   0.50  3.796    1.0946
  0.00  0.000   0.50  3.796   -0.0127
  0.00  0.000   0.50  3.813    1.0307
  0.00  0.000   0.50  3.813   -0.0099
  0.00  0.000   0.50  3.829    0.9665
  0.00  0.000   0.50  3.829   -0.0005
  0.00  0.000   0.50  3.845    0.9134
  0.00  0.000   0.50  3.845   -0.0003
  0.00  0.000   0.50  3.860    0.8423
  0.00  0.000   0.50  3.860    0.0024
  0.00  0.000   0.50  3.875    0.7536
  0.00  0.000   0.50  3.875    0.0104
  0.00  0.000   1.00  3.544    2.8746
  0.00  0.000   1.00  3.544   -0.0293
  0.00  0.000   1.00  3.574    2.2008
  0.00  0.000   1.00  3.574   -0.0094
  0.00  0.000   1.00  3.602    1.7178
  0.00  0.000   1.00  3.602    0.0005
  0.00  0.000   1.00  3.628    1.5091
  0.00  0.000   1.00  3.628    0.0016
  0.00  0.000   1.00  3.653    1.3945
  0.00  0.000   1.00  3.653    0.0001
  0.00  0.000   1.00  3.677    1.3048
  0.00  0.000   1.00  3.677   -0.0017
  0.00  0.000   1.00  3.699    1.2214
  0.00  0.000   1.00  3.699   -0.0033
  0.00  0.000   1.00  3.720    1.1579
  0.00  0.000   1.00  3.720   -0.0034
  0.00  0.000   1.00  3.740    1.1175
  0.00  0.000   1.00  3.740   -0.0049
  0.00  0.000   1.00  3.760    1.1419
  0.00  0.000   1.00  3.760   -0.0135
  0.00  0.000   1.00  3.778    1.1739
  0.00  0.000   1.00  3.778   -0.0225
  0.00  0.000   1.00  3.796    1.1246
  0.00  0.000   1.00  3.796   -0.0168
  0.00  0.000   1.00  3.813    1.0672
  0.00  0.000   1.00  3.813   -0.0142
  0.00  0.000   1.00  3.829    1.0049
  0.00  0.000   1.00  3.829   -0.0094
  0.00  0.000   1.00  3.845    0.9357
  0.00  0.000   1.00  3.845   -0.0041
  0.00  0.000   1.00  3.860    0.8788
  0.00  0.000   1.00  3.860   -0.0012
  0.00  0.000   1.00  3.875    0.8188
  0.00  0.000   1.00  3.875    0.0028
  0.00  0.000   1.00  3.889    0.7439
  0.00  0.000   1.00  3.889    0.0040
  0.00  0.000   1.00  3.903    0.6418
  0.00  0.000   1.00  3.903    0.0125
  0.00  0.000   1.00  3.916    0.5281
  0.00  0.000   1.00  3.916    0.0281
  0.00  0.000   1.50  3.544    2.9717
  0.00  0.000   1.50  3.544   -0.0301
  0.00  0.000   1.50  3.574    2.2649
  0.00  0.000   1.50  3.574   -0.0130
  0.00  0.000   1.50  3.602    1.7458
  0.00  0.000   1.50  3.602   -0.0020
  0.00  0.000   1.50  3.628    1.5116
  0.00  0.000   1.50  3.628    0.0004
  0.00  0.000   1.50  3.653    1.3881
  0.00  0.000   1.50  3.653    0.0001
  0.00  0.000   1.50  3.677    1.2946
  0.00  0.000   1.50  3.677   -0.0013
  0.00  0.000   1.50  3.699    1.2185
  0.00  0.000   1.50  3.699   -0.0030
  0.00  0.000   1.50  3.720    1.1564
  0.00  0.000   1.50  3.720   -0.0033
  0.00  0.000   1.50  3.740    1.1024
  0.00  0.000   1.50  3.740   -0.0050
  0.00  0.000   1.50  3.760    1.0732
  0.00  0.000   1.50  3.760   -0.0066
  0.00  0.000   1.50  3.778    1.1337
  0.00  0.000   1.50  3.778   -0.0158
  0.00  0.000   1.50  3.796    1.1540
  0.00  0.000   1.50  3.796   -0.0249
  0.00  0.000   1.50  3.813    1.0854
  0.00  0.000   1.50  3.813   -0.0203
  0.00  0.000   1.50  3.829    1.0453
  0.00  0.000   1.50  3.829   -0.0170
  0.00  0.000   1.50  3.845    0.9795
  0.00  0.000   1.50  3.845   -0.0111
  0.00  0.000   1.50  3.860    0.8996
  0.00  0.000   1.50  3.860   -0.0053
  0.00  0.000   1.50  3.875    0.8398
  0.00  0.000   1.50  3.875   -0.0026
  0.00  0.000   1.50  3.889    0.7853
  0.00  0.000   1.50  3.889   -0.0004
  0.00  0.000   1.50  3.903    0.7239
  0.00  0.000   1.50  3.903    0.0040
  0.00  0.000   1.50  3.916    0.6596
  0.00  0.000   1.50  3.916    0.0112
  0.00  0.000   1.50  3.929    0.6051
  0.00  0.000   1.50  3.929    0.0097
  0.00  0.000   1.50  3.942    0.5667
  0.00  0.000   1.50  3.942    0.0136
  0.00  0.000   1.50  3.954    0.5355
  0.00  0.000   1.50  3.954    0.0178
  0.00  0.000   2.00  3.544    3.0408
  0.00  0.000   2.00  3.544   -0.0279
  0.00  0.000   2.00  3.574    2.3218
  0.00  0.000   2.00  3.574   -0.0158
  0.00  0.000   2.00  3.602    1.7793
  0.00  0.000   2.00  3.602   -0.0045
  0.00  0.000   2.00  3.628    1.5195
  0.00  0.000   2.00  3.628   -0.0007
  0.00  0.000   2.00  3.653    1.3857
  0.00  0.000   2.00  3.653   -0.0002
  0.00  0.000   2.00  3.677    1.2881
  0.00  0.000   2.00  3.677   -0.0010
  0.00  0.000   2.00  3.699    1.2102
  0.00  0.000   2.00  3.699   -0.0020
  0.00  0.000   2.00  3.720    1.1455
  0.00  0.000   2.00  3.720   -0.0034
  0.00  0.000   2.00  3.740    1.0961
  0.00  0.000   2.00  3.740   -0.0046
  0.00  0.000   2.00  3.760    1.0710
  0.00  0.000   2.00  3.760   -0.0052
  0.00  0.000   2.00  3.778    1.0481
  0.00  0.000   2.00  3.778   -0.0069
  0.00  0.000   2.00  3.796    1.0923
  0.00  0.000   2.00  3.796   -0.0194
  0.00  0.000   2.00  3.813    1.1258
