  logg    Teff     ZR    y1(CHEOPS)    
  logg    Teff     ZR    y2(CHEOPS)    
  3.00    2300.   0.0000   2.0805
  3.00    2300.   0.0000   0.0382
  3.00    2400.   0.0000   2.1244
  3.00    2400.   0.0000   0.0307
  3.00    2500.   0.0000   2.0920
  3.00    2500.   0.0000   0.0288
  3.00    2600.   0.0000   1.9498
  3.00    2600.   0.0000   0.0468
  3.00    2700.   0.0000   1.7924
  3.00    2700.   0.0000   0.0777
  3.00    2900.   0.0000   1.7324
  3.00    2900.   0.0000   0.1313
  3.00    3100.   0.0000   1.7136
  3.00    3100.   0.0000   0.1576
  3.00    3200.   0.0000   1.7348
  3.00    3200.   0.0000   0.1637
  3.00    3300.   0.0000   1.9148
  3.00    3300.   0.0000   0.1575
  3.00    3400.   0.0000   2.1612
  3.00    3400.   0.0000   0.1124
  3.00    3500.   0.0000   2.3197
  3.00    3500.   0.0000   0.0835
  3.00    3600.   0.0000   2.3855
  3.00    3600.   0.0000   0.0356
  3.00    3700.   0.0000   2.2756
  3.00    3700.   0.0000   0.0072
  3.00    3800.   0.0000   2.1099
  3.00    3800.   0.0000  -0.0066
  3.00    3900.   0.0000   1.9210
  3.00    3900.   0.0000  -0.0075
  3.00    4000.   0.0000   1.7740
  3.00    4000.   0.0000  -0.0046
  3.00    4100.   0.0000   1.7210
  3.00    4100.   0.0000  -0.0041
  3.00    4200.   0.0000   1.6676
  3.00    4200.   0.0000  -0.0085
  3.00    4300.   0.0000   1.5650
  3.00    4300.   0.0000  -0.0099
  3.00    4400.   0.0000   1.5030
  3.00    4400.   0.0000  -0.0014
  3.00    4500.   0.0000   1.4730
  3.00    4500.   0.0000  -0.0032
  3.00    4600.   0.0000   1.4057
  3.00    4600.   0.0000   0.0001
  3.00    4700.   0.0000   1.3702
  3.00    4700.   0.0000   0.0084
  3.00    4800.   0.0000   1.3674
  3.00    4800.   0.0000   0.0093
  3.00    4900.   0.0000   1.3032
  3.00    4900.   0.0000   0.0005
  3.00    5100.   0.0000   1.2677
  3.00    5100.   0.0000   0.0031
  3.00    5200.   0.0000   1.2275
  3.00    5200.   0.0000   0.0002
  3.00    5300.   0.0000   1.2308
  3.00    5300.   0.0000  -0.0005
  3.00    5400.   0.0000   1.1894
  3.00    5400.   0.0000  -0.0104
  3.00    5500.   0.0000   1.1700
  3.00    5500.   0.0000   0.0081
  3.00    5600.   0.0000   1.1827
  3.00    5600.   0.0000  -0.0033
  3.00    5700.   0.0000   1.1666
  3.00    5700.   0.0000  -0.0027
  3.00    5800.   0.0000   1.1472
  3.00    5800.   0.0000  -0.0190
  3.00    5900.   0.0000   1.1333
  3.00    5900.   0.0000  -0.0033
  3.00    6000.   0.0000   1.1429
  3.00    6000.   0.0000  -0.0084
  3.00    6100.   0.0000   1.0969
  3.00    6100.   0.0000  -0.0028
  3.00    6200.   0.0000   1.0781
  3.00    6200.   0.0000   0.0014
  3.00    6300.   0.0000   1.0607
  3.00    6300.   0.0000  -0.0014
  3.00    6400.   0.0000   1.0456
  3.00    6400.   0.0000  -0.0023
  3.00    6500.   0.0000   1.0553
  3.00    6500.   0.0000   0.0046
  3.00    6600.   0.0000   1.0288
  3.00    6600.   0.0000  -0.0061
  3.00    6700.   0.0000   1.0359
  3.00    6700.   0.0000   0.0061
  3.00    6800.   0.0000   1.1045
  3.00    6800.   0.0000   0.0067
  3.00    6900.   0.0000   1.0636
  3.00    6900.   0.0000  -0.0231
  3.00    7000.   0.0000   1.0415
  3.00    7000.   0.0000  -0.0170
  3.00    7200.   0.0000   1.0070
  3.00    7200.   0.0000  -0.0210
  3.00    7400.   0.0000   0.9467
  3.00    7400.   0.0000  -0.0181
  3.00    7600.   0.0000   0.9004
  3.00    7600.   0.0000  -0.0067
  3.00    7800.   0.0000   0.8457
  3.00    7800.   0.0000  -0.0286
  3.00    8000.   0.0000   0.8038
  3.00    8000.   0.0000  -0.0108
  3.00    8200.   0.0000   0.7677
  3.00    8200.   0.0000  -0.0140
  3.00    8400.   0.0000   0.7435
  3.00    8400.   0.0000  -0.0156
  3.00    8600.   0.0000   0.7033
  3.00    8600.   0.0000  -0.0119
  3.00    8800.   0.0000   0.6668
  3.00    8800.   0.0000  -0.0102
  3.00    9000.   0.0000   0.6423
  3.00    9000.   0.0000  -0.0101
  3.00    9200.   0.0000   0.6220
  3.00    9200.   0.0000  -0.0103
  3.00    9400.   0.0000   0.6010
  3.00    9400.   0.0000  -0.0097
  3.00    9600.   0.0000   0.5867
  3.00    9600.   0.0000  -0.0089
  3.00    9800.   0.0000   0.5819
  3.00    9800.   0.0000  -0.0068
